episode,reward_agent_0,reward_agent_1,a0_red_coins,a0_blue_coins,a1_red_coins,a1_blue_coins
0,11.0,-14.0,21,10,22,8
1,6.0,4.0,17,11,10,14
2,-8.0,-4.0,9,17,19,15
3,3.0,6.0,16,13,9,15
4,-3.0,-3.0,14,17,17,14
5,1.0,7.0,13,12,10,17
6,-2.0,-3.0,13,15,14,11
7,9.0,4.0,24,15,15,19
8,8.0,8.0,17,9,11,19
9,-4.0,2.0,15,19,13,15
10,-2.0,2.0,13,15,14,16
11,4.0,1.0,19,15,14,15
12,-4.0,0.0,15,19,15,15
13,3.0,3.0,14,11,15,18
14,0.0,-5.0,13,13,16,11
15,2.0,-8.0,13,11,14,6
16,0.0,15.0,11,11,10,25
17,6.0,-1.0,18,12,12,11
18,3.0,-1.0,17,14,16,15
19,-2.0,-2.0,15,17,19,17
20,3.0,9.0,17,14,6,15
21,-11.0,0.0,11,22,11,11
22,3.0,0.0,18,15,12,12
23,12.0,3.0,17,5,10,13
24,2.0,0.0,13,11,14,14
25,2.0,3.0,13,11,8,11
26,3.0,2.0,15,12,12,14
27,2.0,-4.0,15,13,14,10
28,1.0,-1.0,13,12,14,13
29,3.0,-4.0,17,14,16,12
30,11.0,0.0,15,4,9,9
31,-3.0,0.0,13,16,10,10
32,9.0,4.0,23,14,15,19
33,3.0,5.0,15,12,9,14
34,3.0,3.0,14,11,10,13
35,-3.0,4.0,11,14,7,11
36,1.0,-2.0,10,9,15,13
37,1.0,-9.0,11,10,16,7
38,3.0,-8.0,14,11,19,11
39,-2.0,2.0,7,9,8,10
40,13.0,-9.0,19,6,19,10
41,0.0,11.0,14,14,5,16
42,4.0,5.0,14,10,8,13
43,3.0,0.0,11,8,13,13
44,-1.0,0.0,14,15,9,9
45,-2.0,0.0,8,10,6,6
46,-4.0,4.0,10,14,7,11
47,8.0,-1.0,17,9,8,7
48,3.0,-2.0,14,11,11,9
49,3.0,3.0,16,13,10,13
50,3.0,1.0,16,13,16,17
51,3.0,-10.0,18,15,18,8
52,-3.0,-7.0,13,16,12,5
53,5.0,5.0,14,9,9,14
54,1.0,2.0,10,9,13,15
55,7.0,5.0,15,8,10,15
56,2.0,4.0,14,12,10,14
57,3.0,1.0,10,7,13,14
58,-4.0,6.0,9,13,9,15
59,6.0,4.0,17,11,10,14
60,-6.0,7.0,10,16,11,18
61,15.0,5.0,20,5,12,17
62,6.0,7.0,16,10,6,13
63,2.0,-2.0,17,15,12,10
64,2.0,5.0,17,15,14,19
65,4.0,4.0,12,8,10,14
66,-4.0,3.0,12,16,14,17
67,-4.0,4.0,7,11,6,10
68,8.0,11.0,17,9,9,20
69,7.0,7.0,14,7,12,19
70,0.0,4.0,15,15,12,16
71,6.0,2.0,16,10,11,13
72,1.0,10.0,16,15,8,18
73,10.0,5.0,22,12,13,18
74,-6.0,3.0,11,17,8,11
75,-5.0,3.0,11,16,12,15
76,0.0,0.0,14,14,13,13
77,6.0,11.0,12,6,10,21
78,4.0,6.0,11,7,13,19
79,-2.0,9.0,11,13,7,16
80,3.0,-9.0,14,11,20,11
81,11.0,10.0,20,9,5,15
82,7.0,-4.0,17,10,13,9
83,2.0,6.0,19,17,12,18
84,10.0,13.0,18,8,8,21
85,5.0,5.0,13,8,12,17
86,0.0,0.0,15,15,13,13
87,15.0,-5.0,22,7,16,11
88,-2.0,1.0,16,18,13,14
89,-1.0,3.0,8,9,10,13
90,8.0,4.0,15,7,12,16
91,-1.0,-8.0,13,14,16,8
92,5.0,5.0,20,15,7,12
93,11.0,4.0,17,6,12,16
94,7.0,10.0,18,11,11,21
95,8.0,4.0,19,11,14,18
96,11.0,6.0,19,8,9,15
97,-1.0,2.0,12,13,13,15
98,10.0,-2.0,18,8,11,9
99,7.0,5.0,16,9,9,14
100,13.0,0.0,24,11,8,8
101,-3.0,7.0,11,14,13,20
102,7.0,12.0,18,11,12,24
103,0.0,6.0,15,15,10,16
104,4.0,-2.0,14,10,18,16
105,7.0,11.0,16,9,12,23
106,11.0,2.0,23,12,15,17
107,9.0,-9.0,19,10,20,11
108,7.0,-2.0,16,9,18,16
109,7.0,0.0,15,8,12,12
110,15.0,5.0,23,8,10,15
111,2.0,-5.0,15,13,19,14
112,13.0,5.0,21,8,11,16
113,7.0,6.0,18,11,12,18
114,6.0,15.0,18,12,5,20
115,2.0,6.0,10,8,10,16
116,6.0,5.0,17,11,6,11
117,11.0,-3.0,24,13,22,19
118,-4.0,11.0,10,14,8,19
119,14.0,-1.0,19,5,15,14
120,16.0,11.0,22,6,9,20
121,0.0,6.0,12,12,10,16
122,4.0,5.0,17,13,7,12
123,2.0,6.0,12,10,8,14
124,10.0,12.0,19,9,10,22
125,17.0,3.0,24,7,12,15
126,6.0,4.0,16,10,8,12
127,5.0,6.0,22,17,9,15
128,-3.0,7.0,16,19,10,17
129,3.0,1.0,16,13,13,14
130,2.0,5.0,16,14,8,13
131,-2.0,4.0,15,17,16,20
132,6.0,7.0,15,9,9,16
133,8.0,2.0,20,12,15,17
134,4.0,5.0,15,11,10,15
135,8.0,3.0,18,10,11,14
136,6.0,9.0,14,8,10,19
137,-4.0,6.0,10,14,11,17
138,6.0,0.0,15,9,17,17
139,2.0,7.0,18,16,6,13
140,0.0,-1.0,17,17,13,12
141,0.0,-4.0,17,17,16,12
142,5.0,2.0,21,16,19,21
143,4.0,-4.0,13,9,16,12
144,4.0,17.0,14,10,5,22
145,2.0,1.0,16,14,14,15
146,9.0,-5.0,18,9,16,11
147,4.0,4.0,18,14,15,19
148,-4.0,19.0,12,16,3,22
149,9.0,-12.0,18,9,23,11
150,7.0,16.0,17,10,6,22
151,10.0,-2.0,16,6,18,16
152,6.0,4.0,19,13,12,16
153,10.0,8.0,16,6,12,20
154,12.0,10.0,17,5,4,14
155,6.0,9.0,18,12,11,20
156,5.0,4.0,15,10,9,13
157,9.0,8.0,13,4,11,19
158,17.0,6.0,22,5,10,16
159,9.0,2.0,19,10,15,17
160,8.0,1.0,21,13,12,13
161,8.0,16.0,20,12,4,20
162,12.0,14.0,17,5,8,22
163,3.0,8.0,15,12,4,12
164,13.0,7.0,21,8,12,19
165,0.0,11.0,11,11,8,19
166,11.0,11.0,22,11,9,20
167,8.0,10.0,16,8,10,20
168,-2.0,-7.0,11,13,19,12
169,20.0,4.0,24,4,13,17
170,11.0,7.0,17,6,11,18
171,15.0,6.0,23,8,14,20
172,17.0,6.0,22,5,10,16
173,7.0,6.0,18,11,8,14
174,2.0,13.0,9,7,10,23
175,2.0,15.0,14,12,8,23
176,13.0,3.0,19,6,13,16
177,4.0,14.0,12,8,7,21
178,8.0,7.0,19,11,12,19
179,0.0,8.0,16,16,11,19
180,5.0,12.0,12,7,9,21
181,14.0,3.0,21,7,11,14
182,4.0,9.0,15,11,10,19
183,-8.0,17.0,6,14,6,23
184,1.0,5.0,11,10,11,16
185,5.0,9.0,16,11,11,20
186,0.0,6.0,7,7,12,18
187,-2.0,11.0,12,14,10,21
188,0.0,8.0,11,11,13,21
189,13.0,9.0,19,6,9,18
190,9.0,1.0,17,8,12,13
191,8.0,6.0,15,7,11,17
192,3.0,2.0,13,10,14,16
193,2.0,9.0,13,11,6,15
194,4.0,14.0,15,11,7,21
195,3.0,7.0,12,9,8,15
196,4.0,19.0,16,12,7,26
197,1.0,8.0,12,11,10,18
198,7.0,13.0,16,9,5,18
199,9.0,6.0,12,3,11,17
200,11.0,5.0,19,8,12,17
