episode,reward_agent_0,red_coins,blue_coins
0,14.0,5,9
1,7.0,5,2
2,9.0,3,6
3,9.0,5,4
4,8.0,5,3
5,7.0,5,2
6,6.0,4,2
7,5.0,3,2
8,16.0,10,6
9,11.0,9,2
10,5.0,1,4
11,14.0,4,10
12,7.0,3,4
13,14.0,9,5
14,8.0,4,4
15,15.0,7,8
16,14.0,7,7
17,12.0,6,6
18,12.0,4,8
19,4.0,2,2
20,11.0,7,4
21,9.0,6,3
22,10.0,8,2
23,10.0,4,6
24,10.0,5,5
25,6.0,2,4
26,12.0,6,6
27,16.0,9,7
28,16.0,10,6
29,18.0,9,9
30,14.0,6,8
31,15.0,7,8
32,14.0,7,7
33,11.0,5,6
34,11.0,5,6
35,9.0,5,4
36,16.0,8,8
37,12.0,6,6
38,10.0,7,3
39,11.0,4,7
40,20.0,10,10
41,16.0,6,10
42,11.0,7,4
43,13.0,7,6
44,17.0,7,10
45,13.0,7,6
46,17.0,7,10
47,14.0,7,7
48,14.0,4,10
49,18.0,12,6
50,15.0,11,4
51,17.0,6,11
52,17.0,8,9
53,13.0,5,8
54,5.0,4,1
55,18.0,8,10
56,10.0,5,5
57,17.0,7,10
58,20.0,10,10
59,10.0,7,3
60,9.0,2,7
61,25.0,12,13
62,17.0,6,11
63,16.0,7,9
64,11.0,7,4
65,15.0,9,6
66,15.0,8,7
67,13.0,5,8
68,10.0,4,6
69,15.0,8,7
70,15.0,6,9
71,16.0,7,9
72,9.0,7,2
73,11.0,7,4
74,17.0,9,8
75,12.0,6,6
76,13.0,8,5
77,10.0,9,1
78,21.0,8,13
79,22.0,9,13
80,10.0,4,6
81,16.0,9,7
82,17.0,6,11
83,15.0,11,4
84,13.0,6,7
85,13.0,8,5
86,11.0,4,7
87,14.0,8,6
88,16.0,11,5
89,14.0,6,8
90,16.0,9,7
91,16.0,8,8
92,19.0,9,10
93,17.0,5,12
94,18.0,8,10
95,19.0,10,9
96,16.0,10,6
97,10.0,2,8
98,12.0,5,7
99,16.0,8,8
100,15.0,9,6
101,14.0,6,8
102,13.0,6,7
103,15.0,7,8
104,19.0,11,8
105,18.0,10,8
106,15.0,7,8
107,16.0,10,6
108,17.0,9,8
109,22.0,12,10
110,15.0,8,7
111,17.0,8,9
112,16.0,7,9
113,12.0,9,3
114,10.0,6,4
115,16.0,8,8
116,16.0,8,8
117,17.0,10,7
118,15.0,8,7
119,15.0,7,8
120,12.0,5,7
121,18.0,8,10
122,16.0,10,6
123,17.0,6,11
124,13.0,8,5
125,16.0,6,10
126,17.0,12,5
127,12.0,6,6
128,19.0,9,10
129,14.0,8,6
130,19.0,11,8
131,13.0,10,3
132,13.0,5,8
133,17.0,9,8
134,13.0,6,7
135,18.0,9,9
136,16.0,7,9
137,18.0,11,7
138,17.0,9,8
139,24.0,12,12
140,12.0,6,6
141,15.0,10,5
142,12.0,4,8
143,24.0,10,14
144,16.0,7,9
145,14.0,6,8
146,13.0,4,9
147,16.0,8,8
148,14.0,10,4
149,16.0,4,12
150,16.0,9,7
151,20.0,7,13
152,21.0,8,13
153,17.0,10,7
154,14.0,4,10
155,18.0,10,8
156,15.0,8,7
157,13.0,5,8
158,20.0,13,7
159,18.0,10,8
160,18.0,13,5
161,13.0,6,7
162,13.0,5,8
163,16.0,9,7
164,17.0,8,9
165,17.0,10,7
166,15.0,8,7
167,16.0,8,8
168,12.0,8,4
169,17.0,7,10
170,18.0,10,8
171,14.0,7,7
172,15.0,6,9
173,8.0,5,3
174,15.0,8,7
175,21.0,11,10
176,18.0,9,9
177,12.0,8,4
178,12.0,6,6
179,11.0,4,7
180,10.0,8,2
181,8.0,3,5
182,17.0,5,12
183,16.0,9,7
184,12.0,7,5
185,18.0,9,9
186,17.0,11,6
187,17.0,9,8
188,11.0,4,7
189,14.0,6,8
190,17.0,9,8
191,19.0,8,11
192,16.0,11,5
193,16.0,7,9
194,14.0,9,5
195,18.0,11,7
196,14.0,8,6
197,13.0,4,9
198,16.0,8,8
199,10.0,4,6
200,13.0,10,3
201,20.0,8,12
202,14.0,5,9
203,14.0,4,10
204,14.0,7,7
205,21.0,12,9
206,21.0,11,10
207,16.0,11,5
208,13.0,5,8
209,21.0,12,9
210,10.0,4,6
211,17.0,4,13
212,8.0,4,4
213,17.0,7,10
214,13.0,5,8
215,12.0,6,6
216,18.0,11,7
217,13.0,6,7
218,18.0,10,8
219,15.0,9,6
220,12.0,5,7
221,17.0,8,9
222,14.0,8,6
223,14.0,7,7
224,22.0,9,13
225,19.0,12,7
226,19.0,11,8
227,24.0,11,13
228,13.0,7,6
229,21.0,9,12
230,11.0,5,6
231,19.0,10,9
